,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
D-182919,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,42,40,2,12.9,8.7,9.9,4.9,53.9,25.8,50,4,1,4,3,4,2,1,2
D-182926,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,41,36,5,14,8.8,10.8,NA,51.2,25.5,50,4,2,3,2,4,3,3,3
D-183032,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,41,37,4,13.7,8.6,9.3,NA,51.9,27.4,NA,4,NA,3,3,4,3,NA,3
D-183034,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-183040,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,43,35,8,13.4,8.2,8.9,5.2,51.5,25,NA,3,2,4,3,4,3,3,3
D-184991,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,39,37,2,12.1,7.9,9.8,5.4,53.5,24.9,50,4,2,3,3,4,3,2,2
D-184992,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,124,40,38,2,14.5,8,9.8,7,52,26.8,60,4,1,4,5,4,2,1,2
D-184999,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,41,37,4,14.3,7.9,9.8,NA,51.1,25.9,50,4,2,3,4,4,3,3,2
D-206802,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,44,40,4,12.6,8.3,9.8,4.2,51.1,24.4,50,3,2,4,4,4,3,3,3
D-206803,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,41,39,2,12.7,8.4,9.4,5.1,51.3,26.5,50,4,2,3,3,4,2,3,3
D-206804,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,39,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-206805,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,37,NA,NA,13.6,8,10.2,4.4,51.4,24.3,50,4,1,4,5,4,3,1,3
D-206806,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,42,39,3,12.1,8.4,10.2,5.5,49.5,26,50,4,2,3,3,4,3,3,3
D-206807,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,123,42,NA,NA,11.9,8.4,8.9,5,50,25.6,60,3,2,4,3,4,3,3,3
